AddressLine1,Birth Date,Color,Commute Distance,Date First Purchase,English Description,English Education,English Occupation,English Product Name,English Promotion Category,English Promotion Name,English Promotion Type,Marital Status,Model Name,OrderDate,Product Alternate Key,Product Line,Product Subcategory Key,ProductKey,ShipDate,Size,Size Range,Size Unit Measure Code,Spanish Education,Spanish Occupation,Spanish Product Name,Spanish Promotion Category,Spanish Promotion Name,Spanish Promotion Type,Start Date,StartDate (DimPromotion),Days To Manufacture,Dealer Price,Discount Pct,DiscountAmount,ExtendedAmount,Freight,List Price,Max Qty,Min Qty,Number Cars Owned,Number Children At Home,Número de registros,OrderQuantity,ProductStandardCost,Reorder Point,Safety Stock Level,SalesAmount,SalesOrderLineNumber,Standard Cost,TaxAmt,Total Children,TotalProductCost,UnitPrice,UnitPriceDiscountPct,Weight,Yearly Income
4698 G Street,2/07/1977,Black,0-1 Miles,9/09/2013,Full padding  improved finger flex  durable palm  adjustable closure.,Bachelors,Professional,Half-Finger Gloves  M,No Discount,No Discount,No Discount,M,Half-Finger Gloves,9/09/2013 12:00:00 a.m.,GL-H102-M,S,20,465,16/09/2013 12:00:00 a.m.,M,M,,Licenciatura,Profesional,,Sin descuento,Sin descuento,Sin descuento,1/07/2013 12:00:00 a.m.,29/11/2010 12:00:00 a.m.,0,14.694,0.00,0,24.4900,0.6123,24.4900,,0,0,0,1,1,9.1593,3,4,24.49,3,9.1593,1.9592,0,9.1593,24.49,0,,40000
4698 G Street,2/07/1977,Multi,0-1 Miles,9/09/2013,Unisex long-sleeve AWC logo microfiber cycling jersey,Bachelors,Professional,Long-Sleeve Logo Jersey  XL,No Discount,No Discount,No Discount,M,Long-Sleeve Logo Jersey,9/09/2013 12:00:00 a.m.,LJ-0192-X,S,21,237,16/09/2013 12:00:00 a.m.,XL,XL,,Licenciatura,Profesional,Jersey con logotipo de manga larga  SG,Sin descuento,Sin descuento,Sin descuento,1/07/2013 12:00:00 a.m.,29/11/2010 12:00:00 a.m.,0,29.994,0.00,0,49.9900,1.2498,49.9900,,0,0,0,1,1,38.4923,3,4,49.99,2,38.4923,3.9992,0,38.4923,49.99,0,,40000
4698 G Street,2/07/1977,Yellow,0-1 Miles,9/09/2013,Cross-train  race  or just socialize on a sleek  aerodynamic bike designed for a woman.  Advanced seat technology provides comfort all day.,Bachelors,Professional,Road-350-W Yellow  44,No Discount,No Discount,No Discount,M,Road-350-W,9/09/2013 12:00:00 a.m.,BK-R79Y-44,R,2,582,16/09/2013 12:00:00 a.m.,44,42-46 CM,CM,Licenciatura,Profesional,Carretera: 350 para mujer  amarilla  44,Sin descuento,Sin descuento,Sin descuento,1/07/2013 12:00:00 a.m.,29/11/2010 12:00:00 a.m.,4,1020.594,0.00,0,1700.9900,42.5248,1700.9900,,0,0,0,1,1,1082.5100,75,100,1700.99,1,1082.5100,136.0792,0,1082.5100,1700.99,0,16.13,40000
6648 Rose Dr,19/10/1979,NA,0-1 Miles,9/09/2013,Comparible traction  less expensive wire bead casing.,Partial High School,Manual,LL Mountain Tire,No Discount,No Discount,No Discount,S,LL Mountain Tire,9/09/2013 12:00:00 a.m.,TI-M267,M,37,535,16/09/2013 12:00:00 a.m.,,NA,,Educación secundaria (en curso),Obrero,Cubierta de montaña GB,Sin descuento,Sin descuento,Sin descuento,1/07/2013 12:00:00 a.m.,29/11/2010 12:00:00 a.m.,0,14.994,0.00,0,24.9900,0.6248,24.9900,,0,2,0,1,1,9.3463,375,500,24.99,1,9.3463,1.9992,0,9.3463,24.99,0,,20000
6648 Rose Dr,19/10/1979,Black,0-1 Miles,9/09/2013,Full padding  improved finger flex  durable palm  adjustable closure.,Partial High School,Manual,Half-Finger Gloves  M,No Discount,No Discount,No Discount,S,Half-Finger Gloves,9/09/2013 12:00:00 a.m.,GL-H102-M,S,20,465,16/09/2013 12:00:00 a.m.,M,M,,Educación secundaria (en curso),Obrero,,Sin descuento,Sin descuento,Sin descuento,1/07/2013 12:00:00 a.m.,29/11/2010 12:00:00 a.m.,0,14.694,0.00,0,24.4900,0.6123,24.4900,,0,2,0,1,1,9.1593,3,4,24.49,2,9.1593,1.9592,0,9.1593,24.49,0,,20000
9643 North Star Dr,9/01/1959,NA,0-1 Miles,10/09/2013,Self-sealing tube.,Bachelors,Management,Mountain Tire Tube,No Discount,No Discount,No Discount,M,Mountain Tire Tube,10/09/2013 12:00:00 a.m.,TT-M928,M,37,528,17/09/2013 12:00:00 a.m.,,NA,,Licenciatura,Gestión,Cubierta para cámara de montaña,Sin descuento,Sin descuento,Sin descuento,1/07/2013 12:00:00 a.m.,29/11/2010 12:00:00 a.m.,0,2.994,0.00,0,4.9900,0.1248,4.9900,,0,2,5,1,1,1.8663,375,500,4.99,1,1.8663,0.3992,2,1.8663,4.99,0,,160000
9643 North Star Dr,9/01/1959,NA,0-1 Miles,10/09/2013,Great traction  high-density rubber.,Bachelors,Management,ML Mountain Tire,No Discount,No Discount,No Discount,M,ML Mountain Tire,10/09/2013 12:00:00 a.m.,TI-M602,M,37,536,17/09/2013 12:00:00 a.m.,,NA,,Licenciatura,Gestión,Cubierta de montaña GM,Sin descuento,Sin descuento,Sin descuento,1/07/2013 12:00:00 a.m.,29/11/2010 12:00:00 a.m.,0,17.994,0.00,0,29.9900,0.7498,29.9900,,0,2,5,1,1,11.2163,375,500,29.99,2,11.2163,2.3992,2,11.2163,29.99,0,,160000
9643 North Star Dr,9/01/1959,White,0-1 Miles,10/09/2013,Thin  lightweight and durable with cuffs that stay up.,Bachelors,Management,Racing Socks  L,No Discount,No Discount,No Discount,M,Racing Socks,10/09/2013 12:00:00 a.m.,SO-R809-L,R,23,482,17/09/2013 12:00:00 a.m.,L,L,,Licenciatura,Gestión,Calcetines para carreras  G,Sin descuento,Sin descuento,Sin descuento,1/07/2013 12:00:00 a.m.,29/11/2010 12:00:00 a.m.,0,5.394,0.00,0,8.9900,0.2248,8.9900,,0,2,5,1,1,3.3623,3,4,8.99,3,3.3623,0.7192,2,3.3623,8.99,0,,160000
6729 Mt. Washington,21/05/1963,NA,5-10 Miles,10/09/2013,Great traction  high-density rubber.,Partial College,Professional,ML Mountain Tire,No Discount,No Discount,No Discount,S,ML Mountain Tire,10/09/2013 12:00:00 a.m.,TI-M602,M,37,536,17/09/2013 12:00:00 a.m.,,NA,,Estudios universitarios (en curso),Profesional,Cubierta de montaña GM,Sin descuento,Sin descuento,Sin descuento,1/07/2013 12:00:00 a.m.,29/11/2010 12:00:00 a.m.,0,17.994,0.00,0,29.9900,0.7498,29.9900,,0,4,3,1,1,11.2163,375,500,29.99,1,11.2163,2.3992,2,11.2163,29.99,0,,150000
1394 Firestone,19/10/1944,Red,0-1 Miles,11/09/2013,Universal fit  well-vented  lightweight   snap-on visor.,Bachelors,Clerical,Sport-100 Helmet  Red,No Discount,No Discount,No Discount,M,Sport-100,11/09/2013 12:00:00 a.m.,HL-U509-R,S,31,214,18/09/2013 12:00:00 a.m.,,NA,,Licenciatura,Administrativo,Casco deportivo: 100  rojo,Sin descuento,Sin descuento,Sin descuento,1/07/2013 12:00:00 a.m.,29/11/2010 12:00:00 a.m.,0,20.994,0.00,0,34.9900,0.8748,34.9900,,0,0,0,1,1,13.0863,3,4,34.99,2,13.0863,2.7992,1,13.0863,34.99,0,,20000
1394 Firestone,19/10/1944,Black,0-1 Miles,11/09/2013,"Entry level adult bike, offers a comfortable ride cross-country or down the block. Quick-release hubs and rims.",Bachelors,Clerical,Road-750 Black  58,No Discount,No Discount,No Discount,M,Road-750,11/09/2013 12:00:00 a.m.,BK-R19B-58,R,2,584,18/09/2013 12:00:00 a.m.,58,54-58 CM,CM,Licenciatura,Administrativo,Carretera: 750  negra  58,Sin descuento,Sin descuento,Sin descuento,1/07/2013 12:00:00 a.m.,29/11/2010 12:00:00 a.m.,4,323.994,0.00,0,539.9900,13.4998,539.9900,,0,0,0,1,1,343.6496,75,100,539.99,1,343.6496,43.1992,1,343.6496,539.99,0,20.79,20000
5024 Euclid Avenue,23/11/1945,NA,0-1 Miles,11/09/2013,Conventional all-purpose tube.,Bachelors,Clerical,Road Tire Tube,No Discount,No Discount,No Discount,M,Road Tire Tube,11/09/2013 12:00:00 a.m.,TT-R982,R,37,529,18/09/2013 12:00:00 a.m.,,NA,,Licenciatura,Administrativo,Cubierta para cámara de carretera,Sin descuento,Sin descuento,Sin descuento,1/07/2013 12:00:00 a.m.,29/11/2010 12:00:00 a.m.,0,2.394,0.00,0,3.9900,0.0998,3.9900,,0,0,0,1,1,1.4923,375,500,3.99,1,1.4923,0.3192,1,1.4923,3.99,0,,20000
5024 Euclid Avenue,23/11/1945,NA,0-1 Miles,11/09/2013,Higher density rubber.,Bachelors,Clerical,ML Road Tire,No Discount,No Discount,No Discount,M,ML Road Tire,11/09/2013 12:00:00 a.m.,TI-R628,R,37,539,18/09/2013 12:00:00 a.m.,,NA,,Licenciatura,Administrativo,Cubierta de carretera GM,Sin descuento,Sin descuento,Sin descuento,1/07/2013 12:00:00 a.m.,29/11/2010 12:00:00 a.m.,0,14.994,0.00,0,24.9900,0.6248,24.9900,,0,0,0,1,1,9.3463,375,500,24.99,2,9.3463,1.9992,1,9.3463,24.99,0,,20000
5024 Euclid Avenue,23/11/1945,Yellow,0-1 Miles,11/09/2013,Short sleeve classic breathable jersey with superior moisture control  front zipper  and 3 back pockets.,Bachelors,Clerical,Short-Sleeve Classic Jersey  M,No Discount,No Discount,No Discount,M,Short-Sleeve Classic Jersey,11/09/2013 12:00:00 a.m.,SJ-0194-M,S,21,489,18/09/2013 12:00:00 a.m.,M,M,,Licenciatura,Administrativo,Jersey clásico de manga corta  M,Sin descuento,Sin descuento,Sin descuento,1/07/2013 12:00:00 a.m.,29/11/2010 12:00:00 a.m.,0,32.394,0.00,0,53.9900,1.3498,53.9900,,0,0,0,1,1,41.5723,3,4,53.99,3,41.5723,4.3192,1,41.5723,53.99,0,,20000
2184 Vallejo,14/06/1967,NA,0-1 Miles,11/09/2013,"AWC logo water bottle - holds 30 oz, leak-proof.",Graduate Degree,Clerical,Water Bottle - 30 oz.,No Discount,No Discount,No Discount,M,Water Bottle,11/09/2013 12:00:00 a.m.,WB-H098,S,28,477,18/09/2013 12:00:00 a.m.,,NA,,Estudios de postgrado,Administrativo,,Sin descuento,Sin descuento,Sin descuento,1/07/2013 12:00:00 a.m.,29/11/2010 12:00:00 a.m.,0,2.994,0.00,0,4.9900,0.1248,4.9900,,0,0,0,1,1,1.8663,3,4,4.99,1,1.8663,0.3992,1,1.8663,4.99,0,,20000
2184 Vallejo,14/06/1967,Yellow,0-1 Miles,11/09/2013,Short sleeve classic breathable jersey with superior moisture control  front zipper  and 3 back pockets.,Graduate Degree,Clerical,Short-Sleeve Classic Jersey  L,No Discount,No Discount,No Discount,M,Short-Sleeve Classic Jersey,11/09/2013 12:00:00 a.m.,SJ-0194-L,S,21,490,18/09/2013 12:00:00 a.m.,L,L,,Estudios de postgrado,Administrativo,Jersey clásico de manga corta  G,Sin descuento,Sin descuento,Sin descuento,1/07/2013 12:00:00 a.m.,29/11/2010 12:00:00 a.m.,0,32.394,0.00,0,53.9900,1.3498,53.9900,,0,0,0,1,1,41.5723,3,4,53.99,2,41.5723,4.3192,1,41.5723,53.99,0,,20000
1153 Loma Linda,25/12/1981,Red,2-5 Miles,11/09/2013,Universal fit  well-vented  lightweight   snap-on visor.,Partial College,Clerical,Sport-100 Helmet  Red,No Discount,No Discount,No Discount,S,Sport-100,11/09/2013 12:00:00 a.m.,HL-U509-R,S,31,214,18/09/2013 12:00:00 a.m.,,NA,,Estudios universitarios (en curso),Administrativo,Casco deportivo: 100  rojo,Sin descuento,Sin descuento,Sin descuento,1/07/2013 12:00:00 a.m.,29/11/2010 12:00:00 a.m.,0,20.994,0.00,0,34.9900,0.8748,34.9900,,0,1,0,1,1,13.0863,3,4,34.99,3,13.0863,2.7992,0,13.0863,34.99,0,,30000
1153 Loma Linda,25/12/1981,NA,2-5 Miles,11/09/2013,High-density rubber.,Partial College,Clerical,Touring Tire,No Discount,No Discount,No Discount,S,Touring Tire,11/09/2013 12:00:00 a.m.,TI-T723,T,37,541,18/09/2013 12:00:00 a.m.,,NA,,Estudios universitarios (en curso),Administrativo,Cubierta de paseo,Sin descuento,Sin descuento,Sin descuento,1/07/2013 12:00:00 a.m.,29/11/2010 12:00:00 a.m.,0,17.394,0.00,0,28.9900,0.7248,28.9900,,0,1,0,1,1,10.8423,375,500,28.99,1,10.8423,2.3192,0,10.8423,28.99,0,,30000
1153 Loma Linda,25/12/1981,NA,2-5 Miles,11/09/2013,General purpose tube.,Partial College,Clerical,Touring Tire Tube,No Discount,No Discount,No Discount,S,Touring Tire Tube,11/09/2013 12:00:00 a.m.,TT-T092,T,37,530,18/09/2013 12:00:00 a.m.,,NA,,Estudios universitarios (en curso),Administrativo,Cubierta para cámara de paseo,Sin descuento,Sin descuento,Sin descuento,1/07/2013 12:00:00 a.m.,29/11/2010 12:00:00 a.m.,0,2.994,0.00,0,4.9900,0.1248,4.9900,,0,1,0,1,1,1.8663,375,500,4.99,2,1.8663,0.3992,0,1.8663,4.99,0,,30000
1153 Loma Linda,25/12/1981,NA,2-5 Miles,11/09/2013,Conventional all-purpose tube.,Partial College,Clerical,Road Tire Tube,No Discount,No Discount,No Discount,S,Road Tire Tube,24/12/2013 12:00:00 a.m.,TT-R982,R,37,529,31/12/2013 12:00:00 a.m.,,NA,,Estudios universitarios (en curso),Administrativo,Cubierta para cámara de carretera,Sin descuento,Sin descuento,Sin descuento,1/07/2013 12:00:00 a.m.,29/11/2010 12:00:00 a.m.,0,2.394,0.00,0,3.9900,0.0998,3.9900,,0,1,0,1,1,1.4923,375,500,3.99,2,1.4923,0.3192,0,1.4923,3.99,0,,30000
1153 Loma Linda,25/12/1981,Red,2-5 Miles,11/09/2013,Universal fit  well-vented  lightweight   snap-on visor.,Partial College,Clerical,Sport-100 Helmet  Red,No Discount,No Discount,No Discount,S,Sport-100,24/12/2013 12:00:00 a.m.,HL-U509-R,S,31,214,31/12/2013 12:00:00 a.m.,,NA,,Estudios universitarios (en curso),Administrativo,Casco deportivo: 100  rojo,Sin descuento,Sin descuento,Sin descuento,1/07/2013 12:00:00 a.m.,29/11/2010 12:00:00 a.m.,0,20.994,0.00,0,34.9900,0.8748,34.9900,,0,1,0,1,1,13.0863,3,4,34.99,3,13.0863,2.7992,0,13.0863,34.99,0,,30000
1153 Loma Linda,25/12/1981,NA,2-5 Miles,11/09/2013,Lightweight carbon reinforced  for an unrivaled ride at an un-compromised weight.,Partial College,Clerical,HL Road Tire,No Discount,No Discount,No Discount,S,HL Road Tire,24/12/2013 12:00:00 a.m.,TI-R982,R,37,540,31/12/2013 12:00:00 a.m.,,NA,,Estudios universitarios (en curso),Administrativo,Cubierta de carretera GA,Sin descuento,Sin descuento,Sin descuento,1/07/2013 12:00:00 a.m.,29/11/2010 12:00:00 a.m.,0,19.560,0.00,0,32.6000,0.8150,32.6000,,0,1,0,1,1,12.1924,375,500,32.6,1,12.1924,2.6080,0,12.1924,32.60,0,,30000
7079 Green Leaf Drive,6/02/1958,NA,10+ Miles,12/09/2013,Self-sealing tube.,High School,Management,Mountain Tire Tube,No Discount,No Discount,No Discount,M,Mountain Tire Tube,12/09/2013 12:00:00 a.m.,TT-M928,M,37,528,19/09/2013 12:00:00 a.m.,,NA,,Educación secundaria,Gestión,Cubierta para cámara de montaña,Sin descuento,Sin descuento,Sin descuento,1/07/2013 12:00:00 a.m.,29/11/2010 12:00:00 a.m.,0,2.994,0.00,0,4.9900,0.1248,4.9900,,0,4,5,1,1,1.8663,375,500,4.99,1,1.8663,0.3992,5,1.8663,4.99,0,,120000
7079 Green Leaf Drive,6/02/1958,Black,10+ Miles,12/09/2013,Universal fit  well-vented  lightweight   snap-on visor.,High School,Management,Sport-100 Helmet  Black,No Discount,No Discount,No Discount,M,Sport-100,12/09/2013 12:00:00 a.m.,HL-U509,S,31,217,19/09/2013 12:00:00 a.m.,,NA,,Educación secundaria,Gestión,Casco deportivo: 100  negro,Sin descuento,Sin descuento,Sin descuento,1/07/2013 12:00:00 a.m.,29/11/2010 12:00:00 a.m.,0,20.994,0.00,0,34.9900,0.8748,34.9900,,0,4,5,1,1,13.0863,3,4,34.99,3,13.0863,2.7992,5,13.0863,34.99,0,,120000
7079 Green Leaf Drive,6/02/1958,NA,10+ Miles,12/09/2013,Great traction  high-density rubber.,High School,Management,ML Mountain Tire,No Discount,No Discount,No Discount,M,ML Mountain Tire,12/09/2013 12:00:00 a.m.,TI-M602,M,37,536,19/09/2013 12:00:00 a.m.,,NA,,Educación secundaria,Gestión,Cubierta de montaña GM,Sin descuento,Sin descuento,Sin descuento,1/07/2013 12:00:00 a.m.,29/11/2010 12:00:00 a.m.,0,17.994,0.00,0,29.9900,0.7498,29.9900,,0,4,5,1,1,11.2163,375,500,29.99,2,11.2163,2.3992,5,11.2163,29.99,0,,120000
7367 Walters Way,7/02/1966,NA,0-1 Miles,12/09/2013,Same great treads as more expensive tire with a less expensive wire bead casing.,Partial College,Manual,LL Road Tire,No Discount,No Discount,No Discount,S,LL Road Tire,12/09/2013 12:00:00 a.m.,TI-R092,R,37,538,19/09/2013 12:00:00 a.m.,,NA,,Estudios universitarios (en curso),Obrero,Cubierta de carretera GB,Sin descuento,Sin descuento,Sin descuento,1/07/2013 12:00:00 a.m.,29/11/2010 12:00:00 a.m.,0,12.894,0.00,0,21.4900,0.5373,21.4900,,0,0,1,1,1,8.0373,375,500,21.49,2,8.0373,1.7192,1,8.0373,21.49,0,,20000
7367 Walters Way,7/02/1966,Black,0-1 Miles,12/09/2013,"Entry level adult bike, offers a comfortable ride cross-country or down the block. Quick-release hubs and rims.",Partial College,Manual,Road-750 Black  58,No Discount,No Discount,No Discount,S,Road-750,12/09/2013 12:00:00 a.m.,BK-R19B-58,R,2,584,19/09/2013 12:00:00 a.m.,58,54-58 CM,CM,Estudios universitarios (en curso),Obrero,Carretera: 750  negra  58,Sin descuento,Sin descuento,Sin descuento,1/07/2013 12:00:00 a.m.,29/11/2010 12:00:00 a.m.,4,323.994,0.00,0,539.9900,13.4998,539.9900,,0,0,1,1,1,343.6496,75,100,539.99,1,343.6496,43.1992,1,343.6496,539.99,0,20.79,20000
7281 Running Springs Rd.,1/02/1980,NA,1-2 Miles,12/09/2013,"Aluminum cage is lighter than our mountain version, perfect for long distance trips.",Bachelors,Skilled Manual,Road Bottle Cage,No Discount,No Discount,No Discount,M,Road Bottle Cage,12/09/2013 12:00:00 a.m.,BC-R205,R,28,479,19/09/2013 12:00:00 a.m.,,NA,,Licenciatura,Obrero especializado,Portabotellas de carretera,Sin descuento,Sin descuento,Sin descuento,1/07/2013 12:00:00 a.m.,29/11/2010 12:00:00 a.m.,0,5.394,0.00,0,8.9900,0.2248,8.9900,,0,0,1,1,1,3.3623,3,4,8.99,2,3.3623,0.7192,1,3.3623,8.99,0,,40000
7281 Running Springs Rd.,1/02/1980,NA,1-2 Miles,12/09/2013,"AWC logo water bottle - holds 30 oz, leak-proof.",Bachelors,Skilled Manual,Water Bottle - 30 oz.,No Discount,No Discount,No Discount,M,Water Bottle,12/09/2013 12:00:00 a.m.,WB-H098,S,28,477,19/09/2013 12:00:00 a.m.,,NA,,Licenciatura,Obrero especializado,,Sin descuento,Sin descuento,Sin descuento,1/07/2013 12:00:00 a.m.,29/11/2010 12:00:00 a.m.,0,2.994,0.00,0,4.9900,0.1248,4.9900,,0,0,1,1,1,1.8663,3,4,4.99,3,1.8663,0.3992,1,1.8663,4.99,0,,40000
6466 Appia Ct.,30/03/1980,NA,1-2 Miles,12/09/2013,"Aluminum cage is lighter than our mountain version, perfect for long distance trips.",Bachelors,Skilled Manual,Road Bottle Cage,No Discount,No Discount,No Discount,M,Road Bottle Cage,12/09/2013 12:00:00 a.m.,BC-R205,R,28,479,19/09/2013 12:00:00 a.m.,,NA,,Licenciatura,Obrero especializado,Portabotellas de carretera,Sin descuento,Sin descuento,Sin descuento,1/07/2013 12:00:00 a.m.,29/11/2010 12:00:00 a.m.,0,5.394,0.00,0,8.9900,0.2248,8.9900,,0,0,1,1,1,3.3623,3,4,8.99,2,3.3623,0.7192,1,3.3623,8.99,0,,40000
6466 Appia Ct.,30/03/1980,NA,1-2 Miles,12/09/2013,"AWC logo water bottle - holds 30 oz, leak-proof.",Bachelors,Skilled Manual,Water Bottle - 30 oz.,No Discount,No Discount,No Discount,M,Water Bottle,12/09/2013 12:00:00 a.m.,WB-H098,S,28,477,19/09/2013 12:00:00 a.m.,,NA,,Licenciatura,Obrero especializado,,Sin descuento,Sin descuento,Sin descuento,1/07/2013 12:00:00 a.m.,29/11/2010 12:00:00 a.m.,0,2.994,0.00,0,4.9900,0.1248,4.9900,,0,0,1,1,1,1.8663,3,4,4.99,3,1.8663,0.3992,1,1.8663,4.99,0,,40000
6466 Appia Ct.,30/03/1980,Multi,1-2 Miles,12/09/2013,"Traditional style with a flip-up brim, one-size fits all.",Bachelors,Skilled Manual,AWC Logo Cap,No Discount,No Discount,No Discount,M,Cycling Cap,12/09/2013 12:00:00 a.m.,CA-1098,S,19,225,19/09/2013 12:00:00 a.m.,,NA,,Licenciatura,Obrero especializado,,Sin descuento,Sin descuento,Sin descuento,1/07/2013 12:00:00 a.m.,29/11/2010 12:00:00 a.m.,0,5.394,0.00,0,8.9900,0.2248,8.9900,,0,0,1,1,1,6.9223,3,4,8.99,4,6.9223,0.7192,1,6.9223,8.99,0,,40000
6466 Appia Ct.,30/03/1980,Blue,1-2 Miles,12/09/2013,Travel in style and comfort. Designed for maximum comfort and safety. Wide gear range takes on all hills. High-tech aluminum alloy construction provides durability without added weight.,Bachelors,Skilled Manual,Touring-1000 Blue  50,No Discount,No Discount,No Discount,M,Touring-1000,12/09/2013 12:00:00 a.m.,BK-T79U-50,T,3,574,19/09/2013 12:00:00 a.m.,50,48-52 CM,CM,Licenciatura,Obrero especializado,Paseo: 1000  azul  50,Sin descuento,Sin descuento,Sin descuento,1/07/2013 12:00:00 a.m.,29/11/2010 12:00:00 a.m.,4,1430.442,0.00,0,2384.0700,59.6018,2384.0700,,0,0,1,1,1,1481.9379,75,100,2384.07,1,1481.9379,190.7256,1,1481.9379,2384.07,0,25.42,40000
6102 Lakeview Place,24/01/1956,NA,10+ Miles,13/09/2013,Self-sealing tube.,Bachelors,Management,Mountain Tire Tube,No Discount,No Discount,No Discount,M,Mountain Tire Tube,13/09/2013 12:00:00 a.m.,TT-M928,M,37,528,20/09/2013 12:00:00 a.m.,,NA,,Licenciatura,Gestión,Cubierta para cámara de montaña,Sin descuento,Sin descuento,Sin descuento,1/07/2013 12:00:00 a.m.,29/11/2010 12:00:00 a.m.,0,2.994,0.00,0,4.9900,0.1248,4.9900,,0,3,5,1,1,1.8663,375,500,4.99,1,1.8663,0.3992,4,1.8663,4.99,0,,150000
8711 Pepper Dr.,19/10/1971,NA,0-1 Miles,13/09/2013,"Aluminum cage is lighter than our mountain version, perfect for long distance trips.",Partial College,Manual,Road Bottle Cage,No Discount,No Discount,No Discount,M,Road Bottle Cage,13/09/2013 12:00:00 a.m.,BC-R205,R,28,479,20/09/2013 12:00:00 a.m.,,NA,,Estudios universitarios (en curso),Obrero,Portabotellas de carretera,Sin descuento,Sin descuento,Sin descuento,1/07/2013 12:00:00 a.m.,29/11/2010 12:00:00 a.m.,0,5.394,0.00,0,8.9900,0.2248,8.9900,,0,0,1,1,1,3.3623,3,4,8.99,3,3.3623,0.7192,1,3.3623,8.99,0,,20000
8711 Pepper Dr.,19/10/1971,Black,0-1 Miles,13/09/2013,Universal fit  well-vented  lightweight   snap-on visor.,Partial College,Manual,Sport-100 Helmet  Black,No Discount,No Discount,No Discount,M,Sport-100,13/09/2013 12:00:00 a.m.,HL-U509,S,31,217,20/09/2013 12:00:00 a.m.,,NA,,Estudios universitarios (en curso),Obrero,Casco deportivo: 100  negro,Sin descuento,Sin descuento,Sin descuento,1/07/2013 12:00:00 a.m.,29/11/2010 12:00:00 a.m.,0,20.994,0.00,0,34.9900,0.8748,34.9900,,0,0,1,1,1,13.0863,3,4,34.99,4,13.0863,2.7992,1,13.0863,34.99,0,,20000
8711 Pepper Dr.,19/10/1971,NA,0-1 Miles,13/09/2013,"AWC logo water bottle - holds 30 oz, leak-proof.",Partial College,Manual,Water Bottle - 30 oz.,No Discount,No Discount,No Discount,M,Water Bottle,13/09/2013 12:00:00 a.m.,WB-H098,S,28,477,20/09/2013 12:00:00 a.m.,,NA,,Estudios universitarios (en curso),Obrero,,Sin descuento,Sin descuento,Sin descuento,1/07/2013 12:00:00 a.m.,29/11/2010 12:00:00 a.m.,0,2.994,0.00,0,4.9900,0.1248,4.9900,,0,0,1,1,1,1.8663,3,4,4.99,2,1.8663,0.3992,1,1.8663,4.99,0,,20000
8711 Pepper Dr.,19/10/1971,Multi,0-1 Miles,13/09/2013,"Traditional style with a flip-up brim, one-size fits all.",Partial College,Manual,AWC Logo Cap,No Discount,No Discount,No Discount,M,Cycling Cap,13/09/2013 12:00:00 a.m.,CA-1098,S,19,225,20/09/2013 12:00:00 a.m.,,NA,,Estudios universitarios (en curso),Obrero,,Sin descuento,Sin descuento,Sin descuento,1/07/2013 12:00:00 a.m.,29/11/2010 12:00:00 a.m.,0,5.394,0.00,0,8.9900,0.2248,8.9900,,0,0,1,1,1,6.9223,3,4,8.99,5,6.9223,0.7192,1,6.9223,8.99,0,,20000
8711 Pepper Dr.,19/10/1971,Black,0-1 Miles,13/09/2013,"Entry level adult bike, offers a comfortable ride cross-country or down the block. Quick-release hubs and rims.",Partial College,Manual,Road-750 Black  58,No Discount,No Discount,No Discount,M,Road-750,13/09/2013 12:00:00 a.m.,BK-R19B-58,R,2,584,20/09/2013 12:00:00 a.m.,58,54-58 CM,CM,Estudios universitarios (en curso),Obrero,Carretera: 750  negra  58,Sin descuento,Sin descuento,Sin descuento,1/07/2013 12:00:00 a.m.,29/11/2010 12:00:00 a.m.,4,323.994,0.00,0,539.9900,13.4998,539.9900,,0,0,1,1,1,343.6496,75,100,539.99,1,343.6496,43.1992,1,343.6496,539.99,0,20.79,20000
1183 Royal Links Circle,24/04/1974,NA,2-5 Miles,13/09/2013,General purpose tube.,Partial College,Manual,Touring Tire Tube,No Discount,No Discount,No Discount,M,Touring Tire Tube,13/09/2013 12:00:00 a.m.,TT-T092,T,37,530,20/09/2013 12:00:00 a.m.,,NA,,Estudios universitarios (en curso),Obrero,Cubierta para cámara de paseo,Sin descuento,Sin descuento,Sin descuento,1/07/2013 12:00:00 a.m.,29/11/2010 12:00:00 a.m.,0,2.994,0.00,0,4.9900,0.1248,4.9900,,0,1,1,1,1,1.8663,375,500,4.99,1,1.8663,0.3992,1,1.8663,4.99,0,,20000
1183 Royal Links Circle,24/04/1974,Multi,2-5 Miles,13/09/2013,Unisex long-sleeve AWC logo microfiber cycling jersey,Partial College,Manual,Long-Sleeve Logo Jersey  L,No Discount,No Discount,No Discount,M,Long-Sleeve Logo Jersey,13/09/2013 12:00:00 a.m.,LJ-0192-L,S,21,234,20/09/2013 12:00:00 a.m.,L,L,,Estudios universitarios (en curso),Obrero,Jersey con logotipo de manga larga  G,Sin descuento,Sin descuento,Sin descuento,1/07/2013 12:00:00 a.m.,29/11/2010 12:00:00 a.m.,0,29.994,0.00,0,49.9900,1.2498,49.9900,,0,1,1,1,1,38.4923,3,4,49.99,2,38.4923,3.9992,1,38.4923,49.99,0,,20000
